//X,Y,Z,R,G,B,C2C absolute distances (Z),C2C absolute distances,C2C absolute distances (X),C2C absolute distances (Y)
10812
0.5970215797,2.6594233513,0.1170877516,247,255,0,-0.00034225,0.00067262,0.00005156,-0.00057673
0.6185286641,0.4252067804,0.1220901906,255,240,0,-0.00005981,0.00039773,0.00021869,0.00032678
0.6185268164,0.4464878440,0.1248819754,255,226,0,0.00018197,0.00038970,0.00021684,0.00026783
0.6185248494,0.4677691162,0.1281637549,255,209,0,0.00254376,0.00256057,0.00021487,0.00019911
0.6185231209,0.4890495539,0.1292355657,255,203,0,0.00630557,0.00681557,-0.00245690,0.00080955
0.6185212731,0.5103204250,0.1315873414,255,191,0,0.01083734,0.01220210,-0.00445873,0.00340044
0.6185196638,0.5316003561,0.1314791441,255,192,0,0.00712915,0.01512139,0.01221967,-0.00533962
0.6185182929,0.5528797507,0.1299109161,255,200,0,0.00573092,0.01463611,0.01287830,0.00393975
0.6185169816,0.5741587281,0.1272227168,255,213,0,0.00001271,0.00071045,-0.00046301,0.00053871
0.6185153723,0.5954386592,0.1270144880,255,215,0,0.00355449,0.00366312,0.00020540,-0.00086135
0.6185140014,0.6167077422,0.1245662943,255,228,0,0.00030629,0.00164396,0.00020403,-0.00160223
0.6185126901,0.6379868388,0.1222580746,255,240,0,0.00224807,0.00557224,0.00354266,0.00366682
0.6185113192,0.6592659354,0.1199098602,255,252,0,0.00183986,0.00186986,0.00020134,0.00026596
0.6185098886,0.6805453897,0.1185186505,251,255,0,-0.00266135,0.00271034,-0.00047010,0.00020540
0.6185082793,0.7018254399,0.1186214387,251,255,0,-0.00035856,0.00403854,-0.00313175,-0.00252455
0.6185069680,0.7230944037,0.1159032285,237,255,0,-0.00066677,0.00222039,-0.00047302,0.00206441
0.6185053587,0.7443745136,0.1161390245,238,255,0,-0.00201098,0.00202045,0.00019538,0.00000453
0.6185041666,0.7656529546,0.1122148111,218,255,0,-0.00037519,0.00094646,-0.00047582,-0.00072706
0.6185027361,0.7869323492,0.1106595919,210,255,0,-0.00294041,0.00299621,0.00019276,0.00054234
0.6185005307,0.8082143664,0.1158833802,237,255,0,0.00170338,0.00222520,0.00086051,0.00114435
0.6184987426,0.8294854164,0.1184521765,250,255,0,0.00052217,0.00103927,0.00085872,-0.00026459
0.6184968948,0.8507663012,0.1208189577,255,246,0,-0.00041104,0.00160716,0.00151688,0.00033629
0.6184957623,0.8720446229,0.1164027527,240,255,0,0.00038275,0.00050638,0.00018579,0.00027460
0.6184937954,0.8933258057,0.1195945367,255,252,0,0.00709454,0.01042045,-0.00114620,0.00754583
0.6184918880,0.9146070480,0.1227813289,255,236,0,-0.00002867,0.00215490,0.00018191,0.00214702
0.6184901595,0.9358776212,0.1241931170,255,228,0,-0.00582688,0.00613844,0.00018018,-0.00192237
0.6184879541,0.9571597576,0.1297649145,255,199,0,-0.00414509,0.00740624,-0.00516206,-0.00332022
0.6184861064,0.9784405828,0.1318767071,255,189,0,0.00063671,0.00066247,0.00017613,-0.00004941
0.6184850931,0.9997184277,0.1262884736,255,218,0,-0.00564152,0.00566428,-0.00049490,-0.00011158
0.6184836626,1.0210281610,0.1252002716,255,223,0,-0.00088973,0.00114760,-0.00049633,0.00052822
0.6184821129,1.0422279835,0.1248120815,255,225,0,-0.00818792,0.00819629,0.00017214,0.00032794
0.6184815764,1.0635240078,0.1142628565,229,255,0,-0.01059715,0.01427136,-0.00849843,-0.00437593
0.6184784770,1.0848294497,0.1285756379,255,205,0,0.00101563,0.00109416,0.00016850,-0.00037050
0.6184772849,1.1061280966,0.1252774298,255,222,0,-0.00289257,0.00293559,0.00016731,-0.00047195
0.6184760332,1.1274268627,0.1217192039,255,241,0,-0.00238080,0.00243303,0.00016606,-0.00047314
0.6184744239,1.1486268044,0.1216610223,255,241,0,0.00390102,0.00839066,0.00016445,0.00742686
0.6184726357,1.1699275970,0.1235227957,255,231,0,0.00436280,0.00479072,0.00016266,-0.00197244
0.6184709072,1.1912280321,0.1248545796,255,225,0,-0.00205542,0.00221818,0.00083089,-0.00007200
0.6184691191,1.2125288248,0.1269463599,255,213,0,-0.00382364,0.00466148,-0.00184089,0.00192881
0.6184670925,1.2337303162,0.1307181716,255,194,0,-0.00107183,0.00116563,0.00015712,0.00043035
0.6184652448,1.2550313473,0.1332999468,255,180,0,-0.00254005,0.00551571,-0.00384474,0.00303137
0.6184631586,1.2763328552,0.1373717338,255,160,0,-0.00009827,0.00032325,0.00015318,-0.00026715
0.6184615493,1.2976331711,0.1379235089,255,157,0,-0.00018649,0.00041081,0.00015157,0.00033319
0.6184594631,1.3189347982,0.1424352974,255,133,0,-0.00004470,0.00028195,0.00014949,0.00023484
0.6184577942,1.3401352167,0.1434371173,255,127,0,-0.00134288,0.00135774,0.00014782,0.00013518
0.6184563637,1.3614345789,0.1416688859,255,137,0,-0.00023112,0.00030489,0.00014639,0.00013459
0.6184561253,1.3827296495,0.1290506721,255,202,0,0.00013067,0.00210024,-0.00052387,0.00202966
0.6184558272,1.4040248394,0.1164354533,241,255,0,0.00292546,0.00331348,0.00081581,0.00132489
0.6184543371,1.4252243042,0.1152602732,235,255,0,0.00547028,0.00552689,0.00014436,-0.00077569
0.6184523702,1.4465258121,0.1188850552,254,255,0,0.00365505,0.00379499,-0.00052762,-0.00087416
0.6184508801,1.4678251743,0.1173328310,246,255,0,0.00294283,0.00297673,0.00014091,0.00042522
